product_name_clean,contains_gluten,contains_dairy,contains_nuts,contains_peanut,contains_seafood,contains_egg,contains_soy,contains_celery,contains_mustard,contains_sesame,contains_sulfite,contains_other,contains_unknown,allergen_match_count,allergen_sources,label_sources,confidence
1 2 price urban pizza urban 3 pizza he garlic dou,True,True,False,False,False,False,False,False,False,False,False,False,False,1,openfoodfacts,openfoodfacts_explicit_allergen_tags,high
"1 2 sheet album cake yellow dough, yellow dough",True,True,False,False,False,True,True,False,False,False,False,False,False,2,comprehensive_foods_usda|openfoodfacts,keyword_from_food_name_or_ingredients|openfoodfacts_explicit_allergen_tags,high
1 2 sheet cake,True,True,False,False,False,True,True,False,False,False,False,False,False,1,openfoodfacts,openfoodfacts_explicit_allergen_tags,high
1 2 sheet cake marble,True,True,False,False,False,True,True,False,False,False,False,False,False,2,comprehensive_foods_usda|openfoodfacts,keyword_from_food_name_or_ingredients|openfoodfacts_explicit_allergen_tags,high
"1 2 sheet cake, chocolate",True,True,False,False,False,True,True,False,False,False,False,False,False,1,comprehensive_foods_usda,keyword_from_food_name_or_ingredients,medium
"1 2 sheet decorated chocolate iced yellow cake, chocolate iced yellow",True,True,False,False,False,True,True,False,False,False,False,False,False,2,comprehensive_foods_usda|openfoodfacts,keyword_from_food_name_or_ingredients|openfoodfacts_explicit_allergen_tags,high
"1 2 sheet decorated white iced marble cake, white iced marble",True,True,False,False,False,True,True,False,False,False,False,False,False,2,comprehensive_foods_usda|openfoodfacts,keyword_from_food_name_or_ingredients|openfoodfacts_explicit_allergen_tags,high
1 2 sheet marble cake,True,True,False,False,False,True,True,False,False,False,False,False,False,1,comprehensive_foods_usda,keyword_from_food_name_or_ingredients,medium
1 2 sheet party cake,True,True,False,False,False,True,True,False,False,False,False,False,False,2,comprehensive_foods_usda|openfoodfacts,keyword_from_food_name_or_ingredients|openfoodfacts_explicit_allergen_tags,high
"1 2 sheet party cake white iced yellow, white iced yellow",True,True,False,False,False,True,True,False,False,False,False,False,False,2,comprehensive_foods_usda|openfoodfacts,keyword_from_food_name_or_ingredients|openfoodfacts_explicit_allergen_tags,high
"1 2 sheet white cake with buttercreme icing, 1 2 sheet white cake",True,True,False,False,False,True,True,False,False,False,False,False,False,1,comprehensive_foods_usda,keyword_from_food_name_or_ingredients,medium
1 2 stub wheat pullman bread,True,False,False,False,False,False,True,False,False,False,False,False,False,1,comprehensive_foods_usda,keyword_from_food_name_or_ingredients,medium
"1 2 tuscan white panini loaf, tuscan white",True,False,False,False,False,False,False,False,False,False,False,False,False,1,comprehensive_foods_usda,keyword_from_food_name_or_ingredients,medium
"1 2 white cake white iced, 1 2 white cake white",True,True,False,False,False,True,True,False,False,False,False,False,False,1,comprehensive_foods_usda,keyword_from_food_name_or_ingredients,medium
1 2 white grad cake with red borders,True,True,False,False,False,True,True,False,False,False,False,False,False,2,comprehensive_foods_usda|openfoodfacts,keyword_from_food_name_or_ingredients|openfoodfacts_explicit_allergen_tags,high
1 3 less fat than cream cheese,False,True,False,False,False,False,False,False,False,False,False,False,False,1,openfoodfacts,openfoodfacts_explicit_allergen_tags,high
1 4 choc cake choc iced dec,True,True,False,False,False,True,True,False,False,False,False,False,False,1,comprehensive_foods_usda,keyword_from_food_name_or_ingredients,medium
1 4 choc cake ivory iced floral,True,True,False,False,False,True,True,False,False,False,False,False,False,1,comprehensive_foods_usda,keyword_from_food_name_or_ingredients,medium
1 4 choc cake white iced dec,True,True,False,False,False,True,True,False,False,False,False,False,False,1,comprehensive_foods_usda,keyword_from_food_name_or_ingredients,medium
1 4 lb cheese burger,True,True,False,False,False,True,True,False,True,True,True,False,False,2,openfoodfacts,openfoodfacts_explicit_allergen_tags,high
1 4 marble cake pink iced decorated,True,True,False,False,False,True,True,False,False,False,False,False,False,1,comprehensive_foods_usda,keyword_from_food_name_or_ingredients,medium
1 4 marble cake white iced daisies,True,True,False,False,False,True,True,False,False,False,False,False,False,1,comprehensive_foods_usda,keyword_from_food_name_or_ingredients,medium
1 4 marble cake white iced floral,True,True,False,False,False,True,True,False,False,False,False,False,False,1,comprehensive_foods_usda,keyword_from_food_name_or_ingredients,medium
1 4 marble cake yellow iced decorated,True,True,False,False,False,True,True,False,False,False,False,False,False,1,comprehensive_foods_usda,keyword_from_food_name_or_ingredients,medium
"1 4 sheet album cake marble dough, marble dough",True,True,False,False,False,True,True,False,False,False,False,False,False,2,comprehensive_foods_usda|openfoodfacts,keyword_from_food_name_or_ingredients|openfoodfacts_explicit_allergen_tags,high
1 4 sheet celebration confetti cake with confetti whipped icing,True,True,False,False,False,True,True,False,False,False,False,False,False,1,comprehensive_foods_usda,keyword_from_food_name_or_ingredients,medium
"1 4 sheet chocolate happy b-day cake white iced, sheet chocolate",True,True,False,False,False,True,True,False,False,False,False,False,False,1,comprehensive_foods_usda,keyword_from_food_name_or_ingredients,medium
"1 4 sheet dec. chocolate w blue rosettes cake, chocolate",True,True,False,False,False,True,True,False,False,False,False,False,False,1,comprehensive_foods_usda,keyword_from_food_name_or_ingredients,medium
1 4 sheet dec. wish big party cake,True,True,False,False,False,True,True,False,False,False,False,False,False,1,comprehensive_foods_usda,keyword_from_food_name_or_ingredients,medium
1 4 sheet decorated choc cake,True,True,False,False,False,True,True,False,False,False,False,False,False,1,comprehensive_foods_usda,keyword_from_food_name_or_ingredients,medium
"1 4 sheet decorated chocolate cake, chocolate",True,True,False,False,False,True,True,False,False,False,False,False,False,1,comprehensive_foods_usda,keyword_from_food_name_or_ingredients,medium
"1 4 sheet decorated chocolate iced yellow cake, chocolate iced yellow",True,True,False,False,False,True,True,False,False,False,False,False,False,2,comprehensive_foods_usda|openfoodfacts,keyword_from_food_name_or_ingredients|openfoodfacts_explicit_allergen_tags,high
"1 4 sheet decorated white iced cake, white iced white",True,True,False,False,False,True,True,False,False,False,False,False,False,2,comprehensive_foods_usda|openfoodfacts,keyword_from_food_name_or_ingredients|openfoodfacts_explicit_allergen_tags,high
"1 4 sheet decorated white iced chocolate cake, white iced chocolate",True,True,False,False,False,True,True,False,False,False,False,False,False,2,comprehensive_foods_usda|openfoodfacts,keyword_from_food_name_or_ingredients|openfoodfacts_explicit_allergen_tags,high
1 4 sheet decorated white iced marble cake,True,True,False,False,False,True,True,False,False,False,False,False,False,2,comprehensive_foods_usda|openfoodfacts,keyword_from_food_name_or_ingredients|openfoodfacts_explicit_allergen_tags,high
"1 4 sheet decorated white iced white cake chocolate decorations, white iced white",True,True,False,False,False,True,True,False,False,False,False,False,False,2,comprehensive_foods_usda|openfoodfacts,keyword_from_food_name_or_ingredients|openfoodfacts_explicit_allergen_tags,high
1 4 sheet marble decorated holiday cake,True,True,False,False,False,True,True,False,False,False,False,False,False,1,comprehensive_foods_usda,keyword_from_food_name_or_ingredients,medium
"1 4 sheet party cake chocolate iced marble, chocolate iced marble",True,True,False,False,False,True,True,False,False,False,False,False,False,2,comprehensive_foods_usda|openfoodfacts,keyword_from_food_name_or_ingredients|openfoodfacts_explicit_allergen_tags,high
"1 4 sheet party cake chocolate iced yellow, chocolate iced yellow",True,True,False,False,False,True,True,False,False,False,False,False,False,2,comprehensive_foods_usda|openfoodfacts,keyword_from_food_name_or_ingredients|openfoodfacts_explicit_allergen_tags,high
"1 4 sheet party cake iced chocolate, chocolate iced chocolate",True,True,False,False,False,True,True,False,False,False,False,False,False,2,comprehensive_foods_usda|openfoodfacts,keyword_from_food_name_or_ingredients|openfoodfacts_explicit_allergen_tags,high
"1 4 sheet party cake white iced chocolate, white iced chocolate",True,True,False,False,False,True,True,False,False,False,False,False,False,2,comprehensive_foods_usda|openfoodfacts,keyword_from_food_name_or_ingredients|openfoodfacts_explicit_allergen_tags,high
"1 4 sheet party cake white iced white, white iced white",True,True,False,False,False,True,True,False,False,False,False,False,False,2,comprehensive_foods_usda|openfoodfacts,keyword_from_food_name_or_ingredients|openfoodfacts_explicit_allergen_tags,high
"1 4 sheet party cake white iced yellow, white iced yellow",True,True,False,False,False,True,True,False,False,False,False,False,False,2,comprehensive_foods_usda|openfoodfacts,keyword_from_food_name_or_ingredients|openfoodfacts_explicit_allergen_tags,high
"1 4 sheet party chocolate iced white cake, chocolate iced white",True,True,False,False,False,True,True,False,False,False,False,False,False,2,comprehensive_foods_usda|openfoodfacts,keyword_from_food_name_or_ingredients|openfoodfacts_explicit_allergen_tags,high
"1 4 sheet white cake with buttercream icing, white",True,True,False,False,False,True,True,False,False,False,False,False,False,1,comprehensive_foods_usda,keyword_from_food_name_or_ingredients,medium
"1 4 sheet white cake with buttercreme icing, buttercreme icing",True,True,False,False,False,True,True,False,False,False,False,False,False,1,comprehensive_foods_usda,keyword_from_food_name_or_ingredients,medium
1 4 sheet white cake with buttrcreme icing,True,True,False,False,False,True,True,False,False,False,False,False,False,2,comprehensive_foods_usda,keyword_from_food_name_or_ingredients,medium
"1 4 sheet white cake with buttrcreme icing, buttrcreme icing",True,True,False,False,False,True,True,False,False,False,False,False,False,1,comprehensive_foods_usda,keyword_from_food_name_or_ingredients,medium
1 4 sheet white cake with colored icing,True,True,False,False,False,True,True,False,False,False,False,False,False,1,comprehensive_foods_usda,keyword_from_food_name_or_ingredients,medium
"1 4 sheet white cake with cream cheese icing, white with cream cheese icing",True,True,False,False,False,True,True,False,False,False,False,False,False,1,comprehensive_foods_usda,keyword_from_food_name_or_ingredients,medium
"1 4 sheet yellow cake with buttercream icing blue roses, buttercream icing blue roses",True,True,False,False,False,True,False,False,False,False,False,False,False,1,comprehensive_foods_usda,keyword_from_food_name_or_ingredients,medium
"1 4 sheet yellow cake with buttercream icing snowman, yellow",True,True,False,False,False,True,True,False,False,False,False,False,False,1,comprehensive_foods_usda,keyword_from_food_name_or_ingredients,medium
"1 4 sheet yellow cake with whipped icing pale yellow fantasy flowers, whipped icing pale yellow fantasy flowers",True,True,False,False,False,True,True,False,False,False,False,False,False,1,comprehensive_foods_usda,keyword_from_food_name_or_ingredients,medium
1 4 white cake blue iced mustache,True,True,False,False,False,True,True,False,False,False,False,False,False,1,comprehensive_foods_usda,keyword_from_food_name_or_ingredients,medium
1 4 white cake chocolate iced with candles,True,True,False,False,False,True,True,False,False,False,False,False,False,1,comprehensive_foods_usda,keyword_from_food_name_or_ingredients,medium
1 4 white cake ivory iced floral,True,True,False,False,False,True,True,False,False,False,False,False,False,1,comprehensive_foods_usda,keyword_from_food_name_or_ingredients,medium
1 4 white cake turquoise iced balloons,True,True,False,False,False,True,True,False,False,False,False,False,False,1,comprehensive_foods_usda,keyword_from_food_name_or_ingredients,medium
1 4 white cake white iced floral,True,True,False,False,False,True,True,False,False,False,False,False,False,1,comprehensive_foods_usda,keyword_from_food_name_or_ingredients,medium
1 4 white cake yellow iced decorated,True,True,False,False,False,True,True,False,False,False,False,False,False,1,comprehensive_foods_usda,keyword_from_food_name_or_ingredients,medium
1 4 yellow buttercreame balloons,True,True,False,False,False,True,True,False,False,False,False,False,False,1,comprehensive_foods_usda,keyword_from_food_name_or_ingredients,medium
1 4 yellow cake ivory iced floral,True,True,False,False,False,True,True,False,False,False,False,False,False,1,comprehensive_foods_usda,keyword_from_food_name_or_ingredients,medium
"1 4 yellow whipped jumbo quins, yellow",True,True,False,False,False,True,True,False,False,False,False,False,False,1,comprehensive_foods_usda,keyword_from_food_name_or_ingredients,medium
1 8 or 6 inch marble cake white,True,True,True,False,False,True,True,False,False,False,False,False,False,1,comprehensive_foods_usda,keyword_from_food_name_or_ingredients,medium
"1 8 sheet white iced white cake, white iced",True,True,False,False,False,True,True,False,False,False,False,False,False,1,comprehensive_foods_usda,keyword_from_food_name_or_ingredients,medium
1 acidity 41 grain,False,False,False,False,False,False,False,False,False,False,False,False,False,1,allergies_10k,explicit_empty_allergen_list,high
1 angel hair pasta,True,False,False,False,False,False,False,False,False,False,False,False,False,2,comprehensive_foods_usda|healthy_foods_database,keyword_from_food_name_or_ingredients,medium
1 buttermilk,False,True,False,False,False,False,False,False,False,False,False,False,False,1,openfoodfacts,openfoodfacts_explicit_allergen_tags,high
"1 chocolate lowfat milk, chocolate",False,True,False,False,False,False,False,False,False,False,False,False,False,1,comprehensive_foods_usda,keyword_from_food_name_or_ingredients,medium
1 cultured lowfat buttermilk,False,True,False,False,False,False,False,False,False,False,False,False,False,5,comprehensive_foods_usda,keyword_from_food_name_or_ingredients,medium
1 dozen farm fresh eggs,False,False,False,False,False,True,False,False,False,False,False,False,False,4,comprehensive_foods_usda|healthy_foods_database,keyword_from_food_name_or_ingredients,medium
"1 fat light milk, light",False,True,False,False,False,False,False,False,False,False,False,False,False,1,comprehensive_foods_usda,keyword_from_food_name_or_ingredients,medium
1 ham pepperoni,True,True,False,False,False,False,True,False,False,False,False,False,False,2,comprehensive_foods_usda|openfoodfacts,keyword_from_food_name_or_ingredients|openfoodfacts_explicit_allergen_tags,high
1 lb laffy taffy,False,False,False,False,False,False,True,False,False,False,False,False,False,1,comprehensive_foods_usda,keyword_from_food_name_or_ingredients,medium
1 lb. elm hill jumbo franks,False,False,False,False,False,False,True,False,False,False,False,False,False,1,comprehensive_foods_usda,keyword_from_food_name_or_ingredients,medium
1 light low fat milk,False,True,False,False,False,False,False,False,False,False,False,False,False,1,comprehensive_foods_usda,keyword_from_food_name_or_ingredients,medium
1 light lowfat milk,False,True,False,False,False,False,False,False,False,False,False,False,False,1,comprehensive_foods_usda,keyword_from_food_name_or_ingredients,medium
1 light milk,False,True,False,False,False,False,False,False,False,False,False,False,False,1,comprehensive_foods_usda,keyword_from_food_name_or_ingredients,medium
1 liter bottle diet cream,False,True,False,False,False,False,False,False,False,False,False,False,False,1,comprehensive_foods_usda,keyword_from_food_name_or_ingredients,medium
1 low fat buttermilk,False,True,False,False,False,False,False,False,False,False,False,False,False,2,comprehensive_foods_usda,keyword_from_food_name_or_ingredients,medium
1 low fat chocolate milk,False,True,False,False,False,False,False,False,False,False,False,False,False,2,comprehensive_foods_usda|openfoodfacts,keyword_from_food_name_or_ingredients|openfoodfacts_explicit_allergen_tags,high
"1 low fat chocolate milk, chocolate",False,True,False,False,False,False,False,False,False,False,False,False,False,1,comprehensive_foods_usda,keyword_from_food_name_or_ingredients,medium
1 low fat cultured butter milk,False,True,False,False,False,False,False,False,False,False,False,False,False,1,comprehensive_foods_usda,keyword_from_food_name_or_ingredients,medium
1 low fat lactose free milk,False,True,False,False,False,False,False,False,False,False,False,False,False,2,comprehensive_foods_usda,keyword_from_food_name_or_ingredients,medium
1 low fat milk,False,True,False,False,False,False,False,False,False,False,False,False,False,90,comprehensive_foods_usda|openfoodfacts,keyword_from_food_name_or_ingredients|openfoodfacts_explicit_allergen_tags,high
"1 low fat milk, chocolate",False,True,False,False,False,False,False,False,False,False,False,False,False,3,comprehensive_foods_usda,keyword_from_food_name_or_ingredients,medium
1 low fat notmilk plant-based milk alternative,False,True,False,False,False,False,False,False,False,False,False,False,False,1,comprehensive_foods_usda,keyword_from_food_name_or_ingredients,medium
1 low fat small curd cottage cheese,False,True,False,False,False,False,False,False,False,False,False,False,False,19,comprehensive_foods_usda|healthy_foods_database,keyword_from_food_name_or_ingredients,medium
"1 low fat small curd cottage cheese with chives, chives",False,True,False,False,False,False,False,False,False,False,False,False,False,1,comprehensive_foods_usda,keyword_from_food_name_or_ingredients,medium
1 low fat ultra-filtered milk,False,True,False,False,False,False,False,False,False,False,False,False,False,1,comprehensive_foods_usda,keyword_from_food_name_or_ingredients,medium
1 low-fat cultured buttermilk,False,True,False,False,False,False,False,False,False,False,False,False,False,1,comprehensive_foods_usda,keyword_from_food_name_or_ingredients,medium
1 lowfat butter milk,False,True,False,False,False,False,False,False,False,False,False,False,False,1,comprehensive_foods_usda,keyword_from_food_name_or_ingredients,medium
1 lowfat chocolate milk,False,True,False,False,False,False,False,False,False,False,False,False,False,10,comprehensive_foods_usda|openfoodfacts,keyword_from_food_name_or_ingredients|openfoodfacts_explicit_allergen_tags,high
"1 lowfat chocolate milk, chocolate",False,True,False,False,False,False,False,False,False,False,False,False,False,5,comprehensive_foods_usda,keyword_from_food_name_or_ingredients,medium
1 lowfat cottage cheese,False,True,False,False,False,False,False,False,False,False,False,False,False,4,comprehensive_foods_usda|healthy_foods_database,keyword_from_food_name_or_ingredients,medium
1 lowfat cottage cheese small curd,False,True,False,False,False,False,False,False,False,False,False,False,False,2,comprehensive_foods_usda|healthy_foods_database,keyword_from_food_name_or_ingredients,medium
1 lowfat cow milk,False,True,False,False,False,False,False,False,False,False,False,False,False,1,comprehensive_foods_usda,keyword_from_food_name_or_ingredients,medium
1 lowfat cultured buttermilk,False,True,False,False,False,False,False,False,False,False,False,False,False,9,comprehensive_foods_usda,keyword_from_food_name_or_ingredients,medium
